latitude,longitude,altitude_meters,bearing_degrees
13.07941,80.25959,32.27002334594727,260.2904060878369
13.0794,80.25953,32.44465255737305,258.39691665923624
13.07939,80.25948,32.57507705688477,263.11319008142146
13.07935,80.25914,31.90075302124023,268.1624865952697
13.07934,80.25882,31.60538864135742,259.104231010127
13.07928,80.2585,31.40543746948242,264.4157273959686
13.07924,80.25808,31.01454925537109,262.3729988502763
13.07921,80.25785,31.26492691040039,263.49240200634534
13.07919,80.25767,31.92430305480957,265.70408688322976
13.07916,80.25726,32.82090759277344,263.3081540907012
13.07912,80.25691,31.72848510742188,263.492414674265
13.07909,80.25664,29.72105598449707,263.4923948301201
13.07908,80.25655,29.72402000427246,267.9001976037288
13.07907,80.25627,30.11916732788086,265.4846405512259
13.07906,80.25614,30.52780151367188,266.0846771162961
13.07905,80.25599,31.08359336853027,264.3262334733713
13.07902,80.25568,31.95576667785645,261.9402842227387
13.07898,80.25539,30.74324607849121,264.13839170547476
13.07896,80.25519,29.16423034667969,264.13838074421204
13.07895,80.25509,28.57480049133301,261.3519879798048
13.07891,80.25482,27.55286407470703,264.6680352118399
13.0789,80.25471,27.20047950744629,261.84783894404603
13.07884,80.25428,27.9604606628418,262.68727271868454
13.07883,80.2542,28.69509315490723,262.03068693018804
13.0788,80.25398,30.69555854797363,270.0000033956
13.0788,80.25395,30.95040893554688,261.65641804869654
13.07877,80.25374,31.73758506774902,262.6872747717813
13.07876,80.25366,31.7995777130127,270.000002263733
13.07876,80.25364,31.79904556274414,262.2055763102231
13.07874,80.25349,31.63052177429199,251.10853061323206
13.07873,80.25346,31.5983829498291,276.0108812020885
13.07877,80.25307,33.40476608276367,271.68017558393103
13.07878,80.25272,36.49912261962891,278.3436217188893
13.0788,80.25258,36.21871566772461,270.0000045251281
13.0788,80.25254,36.0679817199707,270.0000181034356
13.0788,80.25238,34.76561737060547,279.7095843218544
13.07881,80.25232,34.14298629760742,270.00002602358006
13.07881,80.25209,31.75760269165039,261.65640153860244
13.0788,80.25202,31.08727264404297,270.00001131492496
13.0788,80.25192,30.39921760559082,270.00002715505593
13.0788,80.25168,29.50432586669922,267.3282529047806
13.07879,80.25146,30.25533103942871,268.3665494814401
13.07878,80.2511,32.08463287353516,267.2662359022673
13.07876,80.25067,32.3690299987793,268.86902085642066
13.07875,80.25015,30.11556053161621,259.29095852577007
13.07868,80.24977,29.09371376037598,261.6564220507686
13.07865,80.24956,29.9355354309082,261.0247126164131
13.07859,80.24917,33.26437759399414,257.92742776793267
13.07854,80.24893,34.00832748413086,259.42688459236706
13.07848,80.2486,32.96172714233398,257.8041321953027
13.07844,80.24841,31.4303150177002,257.14852981899196
13.07838,80.24814,29.72176170349121,258.39707517939115
13.07818,80.24714,30.1300163269043,254.35832035151623
13.07815,80.24703,30.02673149108887,259.8768748110682
13.07811,80.2468,30.39948654174805,257.1485357563231
13.07807,80.24662,30.86163139343262,258.3969775334046
13.07806,80.24657,30.9333438873291,253.65242026148155
13.07804,80.2465,30.95310592651367,260.2904729582999
13.07801,80.24632,30.8821849822998,266.7356992871013
13.078,80.24614,30.84213638305664,260.2904605395226
13.07799,80.24608,30.85319709777832,267.73884131179835
13.07798,80.24582,31.37524032592773,264.5024610021271
13.07795,80.2455,32.43132781982422,265.5971260064904
13.07792,80.2451,33.06466293334961,266.32871243606
13.07791,80.24494,33.26503372192383,258.9355671855592
13.07787,80.24473,33.41292953491211,256.67158572858636
13.07784,80.2446,33.48259353637695,263.11321343243833
